id,organization,location_name,address,address_2,city,state,zip,phone,email,notes,latitude,longitude
5,6,"Ahira Hall Memorial Library ","37 W. Main St."," P.O. Box Q",Brocton,NY,14716,"(716) 792-9418",Director@AhiraHall.org,,42.3793,-79.4688
6,8,"Pilot Tech Center","160 N Union St",NULL,Olean,NY,14760,"(585) 376-0099",,,42.0793,-78.4295
7,8,"Flagship Tech Center","260 E Main St","Suite 2600",Rochester,NY,14604,"(585) 420-6868",,,43.1577,-77.6053
8,9,"Alden Ewell Free Library","13280 Broadway",,Alden,NY,14004,,,https://www.buffalolib.org/locations-and-hours,42.9003,-78.4927
9,9,"Angola Public Library","34 N. Main St.",,Angola,NY,14006,,,https://www.buffalolib.org/locations-and-hours,42.639,-79.028
10,9,"Anna Reinstein Memorial Library","2580 Harlem Rd.",,Cheektowaga,NY,14225,,,https://www.buffalolib.org/locations-and-hours,42.9135,-78.7842
12,9,"Aurora Town Public Library","550 Main St.",,"East Aurora",NY,14052,,,https://www.buffalolib.org/locations-and-hours,42.7682,-78.6143
13,9,"Boston Free Library","9475 Boston State Rd.",," Boston",NY,14025,,,https://www.buffalolib.org/locations-and-hours,42.6276,-78.7353
14,9,"Central (downtown Buffalo)","1 Lafayette Square",,Buffalo,NY,14203,,,https://www.buffalolib.org/locations-and-hours,42.8854,-78.8718
15,9,"City Of Tonawanda Public Library","333 Main St",,Tonawanda,NY,14150,,,https://www.buffalolib.org/locations-and-hours,43.0108,-78.8795
16,9,"Clarence Public Library","3 Town Place",,Clarence,NY,14031,,,https://www.buffalolib.org/locations-and-hours,42.9952,-78.6405
17,9,"Clearfield Branch","770 Hopkins Rd.",,Williamsville,NY,14221,,,https://www.buffalolib.org/locations-and-hours,43.0001,-78.74
18,9,"Concord Public Library","18 Chapel St.",,Springville,NY,14141,,,https://www.buffalolib.org/locations-and-hours,42.5106,-78.6657
19,9,"Crane Branch","633 Elmwood Ave.",,Buffalo,NY,14222,,,https://www.buffalolib.org/locations-and-hours,42.9144,-78.8768
20,9,"Dudley Branch","2010 South Park Ave.",,Buffalo,NY,14220,,,https://www.buffalolib.org/locations-and-hours,42.844,-78.8234
21,9,"East Clinton Branch","1929 Clinton St.",,Buffalo,NY,14206,,,https://www.buffalolib.org/locations-and-hours,42.8718,-78.8048
22,9,"Eden Library","2901 East Church St.",,Eden,NY,14057,,,https://www.buffalolib.org/locations-and-hours,42.6521,-78.8898
23,9,"Eggertsville-Snyder Branch","4622 Main St",,Snyder,NY,14226,,,https://www.buffalolib.org/locations-and-hours,42.9626,-78.7795
24,9,"Elma Public Library","1860 Bowen Rd.",,Elma,NY,14059,,,https://www.buffalolib.org/locations-and-hours,42.822,-78.6372
25,9,"Frank E. Merriweather, Jr. Library","1324 Jefferson Avenue",,"Buffalo ",NY,14208,,,https://www.buffalolib.org/locations-and-hours,42.9113,-78.8541
26,9,"Grand Island Memorial Library","1715 Bedell Rd.",,"Grand Island ",NY,14072,,,https://www.buffalolib.org/locations-and-hours,43.0371,-78.9553
27,9,"Hamburg Public Library","102 Buffalo St.",,"Hamburg ",NY,14075,,,https://www.buffalolib.org/locations-and-hours,42.7189,-78.8298
28,9,"Isaías González-Soto Branch Library (formerly Niagara Branch)","280 Porter Ave.",,Buffalo,NY,14201,,,https://www.buffalolib.org/locations-and-hours,42.9017,-78.8916
29,9,"Julia Boyer Reinstein","1030 Losson Rd.",,"Cheektowaga ",NY,14227,,,https://www.buffalolib.org/locations-and-hours,42.8807,-78.7192
30,9,"Kenilworth Branch","318 Montrose Avenue",,"Buffalo ",NY,14223,,,https://www.buffalolib.org/locations-and-hours,42.9561,-78.8275
31,9,"Kenmore Branch","160 Delaware Rd.",,"Kenmore ",NY,14217,,,https://www.buffalolib.org/locations-and-hours,42.9666,-78.8686
32,9,"Lackawanna Public Library","560 Ridge Rd.",,"Lackawanna ",NY,14218,,,https://www.buffalolib.org/locations-and-hours,42.8262,-78.8309
33,9,"Lake Shore Branch Library","S-4857 Lake Shore Rd.",,"Hamburg ",NY,14075,,,https://www.buffalolib.org/locations-and-hours,42.7507,-78.8954
34,9,"Lancaster Library","5466 Broadway",,"Lancaster ",NY,14086,,,https://www.buffalolib.org/locations-and-hours,42.9,-78.6678
35,9,"Leroy R. Coles, Jr. Branch Library (formerly East Delavan Branch Library)","1187 E. Delavan Ave.",,Buffalo,NY,14215,,,https://www.buffalolib.org/locations-and-hours,42.9228,-78.8127
36,9,"Marilla Free Library","11637 Bullis Rd.",,"Marilla ",NY,14102,,,https://www.buffalolib.org/locations-and-hours,42.8404,-78.554
37,9,"Newstead Public Library","33 Main St.",,"Akron ",NY,14001,,,https://www.buffalolib.org/locations-and-hours,43.0199,-78.5015
38,9,"North Collins Public Library","2095 School St.",,"North Collins ",NY,14111,,,https://www.buffalolib.org/locations-and-hours,42.5983,-78.9367
