id,organization,program_name,population_name,program_status,organization_type,website,contact,email,phone,digital_inclusion_need_device,digital_inclusion_need_education,digital_inclusion_need_broadband,coalition
6,Ahira,"Techie Tuesday with Merrie",,Active,Not-for-profit,https://www.ahirahall.org/event/techy-tuesday-with-merrie/?instance_id=3938,"Julie Morrison Putcher",Director@AhiraHall.org,"(716) 792-9418",0,1,0,30522242
7,"Allegany County","Allegany County Telecommunications Development Corporation",,Active,Not-for-profit,,"Kier Dirlam",dirlamhk@alleganyco.com,"(585) 268-7442",0,0,1,30522242
8,"Boundless Connections","Technology Center - Boundless Connections",,Active,For-profit,https://boundlessconnections.com/,"Christina Lopez",,"(585) 376-0099",0,1,0,30522242
9,"Buffalo & Erie County Public Library (Tech Training Videos)","Technology Training Videos from Buffalo & Erie County Public Library (B&ECPL)",,Active,Not-for-profit,https://www.youtube.com/playlist?list=PLqYMNlV1J5NlVZCH7kVYygX7Yu3-zi-uK,,https://www.buffalolib.org/contact/contact-us,"(716) 858-7143",0,1,0,30522242
10,"Buffalo & Erie County Public Library (Chromebook & Wifi)","Borrow Chromebook & Wi-Fi Hotspot Kits",,Active,Not-for-profit,https://www.buffalolib.org/services/computers-technology,,askus@buffalolib.org,,0,0,1,30522242
11,"Buffalo & Erie County Public Library (Northstar Digital Lit)","Northstar Digital Literacy",,Active,,https://www.buffalolib.org/services/computers-technology,,askus@buffalolib.org,,0,1,0,30522242
12,"Buffalo & Erie County Public Library (B&ECPL)","Book a Technology Trainer",,Active,Not-for-profit,https://www.buffalolib.org/form/book-a-technology-trainer,,askus@buffalolib.org,"(716) 858-7143",0,1,0,30522242
13,"Buffalo Public Schools Adult Education Division","Computer Skills Training",,Active,,https://www.upskill.org/computer-training,,info@upskill.org,"(716) 888-7088 ext. 218",0,1,0,30522242
14,"Center for Self Advocacy","Let's Connect",,Active,Not-for-profit,https://www.center4sa.org/,"Kim Lewis",klewis@center4SA.org,"(716) 768-1795",0,1,0,30522242
15,"Corfu Public Library","Technology Tuesday",,Active,Not-for-profit,http://www.corfulibrary.org/services.html,"Diana Reding",corfulibrary@nioga.org,"(585) 599-3321",0,1,1,30522242
